順位,タイトル,チャンネル名,登録者数,再生数,伸び率,コメント数,動画秒数,投稿日,URL
1,まつりさんのグループ名がやばい#vtuber,Vtuberが好きやねん,1020,138992,136.3x,47,55,2026-04-30,"=HYPERLINK(""https://www.youtube.com/shorts/Z-9wa9e-QHk"",""動画を開く"")"
2,ぶいすぽ“過去最長2ヶ月”の休止…詳細を明かさない理由 #vtuber #vtuber解説,クオタ探偵局,10800,366145,33.9x,856,54,2026-04-30,"=HYPERLINK(""https://www.youtube.com/shorts/DF15XYahrB8"",""動画を開く"")"
3,どんな犬でも対応できるトリマー #shorts #vtuber #新人vtuber #夢打ペカ,夢打ペカ@ ギャンブラー看護師VTuber,1220,23939,19.6x,17,14,2026-04-30,"=HYPERLINK(""https://www.youtube.com/shorts/Zs0oz6wUNWE"",""動画を開く"")"
4,検問でーす⑪「マトモな髪型しか通さない検問所」#shorts  #機動戦士ガンダム #vtuber,茸下なめたけ / KinoshitaNametake,26800,323636,12.1x,207,26,2026-04-30,"=HYPERLINK(""https://www.youtube.com/shorts/BLjd0s5C1_Y"",""動画を開く"")"
5,라고 할 뻔 ㅎ; #vtuber #shorts,백냥이,2810,23987,8.5x,50,54,2026-04-30,"=HYPERLINK(""https://www.youtube.com/shorts/m3m6T_-yGMI"",""動画を開く"")"
6,遂にこの時が来た！？ #新人vtuber #vtuber #shorts,天音なる Naru Amane Ch.,1190,6050,5.1x,13,24,2026-04-30,"=HYPERLINK(""https://www.youtube.com/shorts/pvccZnQergk"",""動画を開く"")"
7,初配信前日だけど、緊張してる？【花丸ほまれ/からくり】#shorts #新人vtuber #vtuber #vtuber準備中,花丸ほまれ / Hanamaru Homare,7420,33491,4.5x,44,47,2026-04-30,"=HYPERLINK(""https://www.youtube.com/shorts/XpyCW94FLAM"",""動画を開く"")"
8,個人ゲーム作家vtuberってアニメも描くの⁉️ #shorts #個人勢vtuber #手描き,日下部一 | おさむお姉さん,4940,21753,4.4x,30,31,2026-04-30,"=HYPERLINK(""https://www.youtube.com/shorts/YTGZ4lltuzI"",""動画を開く"")"
9,【#超かぐや姫 / ray】3Dで踊って歌ってみた🦋【#shorts #vsinger 】,すとらてぃあ-Stratia,1360,5475,4.0x,75,18,2026-04-30,"=HYPERLINK(""https://www.youtube.com/shorts/XvS48-e97Ug"",""動画を開く"")"
10,千萬別讓AI貓靈繞口令？ #伊鬱 #vtuber #shorts #台V #vtuberclip #vtuber中文,伊鬱 Yiyu ch.,1010,3515,3.5x,14,50,2026-04-30,"=HYPERLINK(""https://www.youtube.com/shorts/-Ys5-Y40EWM"",""動画を開く"")"
11,戌神ころねさん配信を消されてしまう…#ホロライブ #vtuber #shorts,VTuberの話題を届けてえんだ,40800,132769,3.3x,103,33,2026-04-29,"=HYPERLINK(""https://www.youtube.com/shorts/p6v6RFGHHdg"",""動画を開く"")"
12,【だーれだ？？】 #新人vtuber #vtuber #shorts,びびでびるか🩷🪽@1月25日初配信,5830,18944,3.2x,22,9,2026-04-30,"=HYPERLINK(""https://www.youtube.com/shorts/33OKvIU1sS0"",""動画を開く"")"
