順位,動画説明,アカウント名,フォロワー数,再生数,いいね数,コメント数,バズ倍率,投稿日,動画URL
1,【𝐇𝐚𝐩𝐩𝐲 𝐁𝐢𝐫𝐭𝐡𝐝𝐚𝐲🎂𝐌𝐢𝐧𝐚𝐢🩵】「ray／かぐや（cv.夏吉ゆうこ）、月見チヨ（cv.早見沙織） from 超かぐや姫！」【EXTRA egg】#vtuber準備中 #dance #踊っ,EXTRA egg ch.,734,32200,1566,20,43.9x,2026-04-05,"=HYPERLINK(""https://www.tiktok.com/@extraegg_/video/7625213258043264277"", ""リンク"")"
2,今なら最古参！#新人vtuber #セルフ受肉vtuber #おすすめ ,深宵いお@4/3初配信,651,12300,1200,17,18.9x,2026-04-05,"=HYPERLINK(""https://www.tiktok.com/@fukayoio43/video/7625207135307140360"", ""リンク"")"
3,何色なるかな#vtuber #新人vtuber #avvy ,菫華ゆめ,108,973,89,14,9.0x,2026-04-04,"=HYPERLINK(""https://www.tiktok.com/@sumikayume/video/7624857602870037780"", ""リンク"")"
4,個人VTuber！これからよろしくなのですっ！#vtuber #初配信 ,神代れいん,150,441,39,12,2.9x,2026-04-04,"=HYPERLINK(""https://www.tiktok.com/@kamishirorain/video/7624843101730901269"", ""リンク"")"
5,俺は悪くない！#valorant #vtuber #vtuber準備中 #valo #バロラント ,どぅ,1927,4787,218,4,2.5x,2026-04-07,"=HYPERLINK(""https://www.tiktok.com/@dondkdndndn/video/7625942125229739285"", ""リンク"")"
